PhoneNumber,Email,CreditScore,AgeGroup,FamilyBackground,Income,LeadSource,TimeOnPage,PagesVisited,High_Intent
+919801459221,randra@example.org,583,36-50,Married,594487,Direct,272,4,0
08583238323,diyadora@example.net,388,26-35,Married,257264,Referral,89,12,0
0702681709,ryansehgal@example.com,419,26-35,Married,308036,Referral,88,11,0
01410705744,sana69@example.org,625,36-50,Married,606777,Referral,172,8,0
07817194913,ryan61@example.org,619,36-50,Married,574868,Social Media,88,3,0
+917255389974,drishya60@example.com,411,26-35,Married,253983,Direct,100,12,0
08074564197,jiyavohra@example.net,584,36-50,Married,554549,Organic Search,233,5,0
+914216157454,gsundaram@example.net,307,18-25,Single,163712,Paid Ads,95,10,0
05647347012,manikya92@example.org,499,26-35,Married,411941,Direct,137,6,0
1258662371,seherdeshpande@example.com,300,26-35,Single,174722,Paid Ads,157,8,0
+912508159358,lkota@example.com,572,51+,Married with Kids,435464,Organic Search,247,14,0
+919359504015,wallahunar@example.net,575,36-50,Married with Kids,526260,Direct,204,6,1
+913048271610,yogikabir@example.org,512,26-35,Married,378604,Direct,291,6,0
7311054580,kandaaayush@example.org,501,26-35,Single,235114,Referral,219,3,0
+917015396636,qthaker@example.net,542,36-50,Married with Kids,609303,Paid Ads,212,3,1
04510735733,hridaan76@example.net,381,18-25,Married,58422,Paid Ads,147,8,0
0579100394,mehul31@example.org,552,51+,Single,489614,Referral,174,11,0
9963301539,dharveer@example.org,430,26-35,Single,276049,Direct,253,12,0
+916368770090,vidur88@example.net,490,51+,Married with Kids,390931,Referral,156,14,0
6069677534,deheer@example.com,376,18-25,Married with Kids,138547,Direct,163,3,0
03114195034,kashvi03@example.net,316,18-25,Married,73429,Organic Search,87,1,0
8458301801,kotasaanvi@example.com,565,36-50,Married with Kids,621584,Direct,278,2,1
01770427066,tjohal@example.com,570,36-50,Single,467779,Paid Ads,45,11,0
+916737383051,gabamishti@example.net,454,26-35,Married with Kids,330954,Direct,261,13,0
6740254760,ksethi@example.org,520,26-35,Single,211901,Referral,235,10,0
1558704765,nirvaan90@example.org,407,51+,Married,387784,Direct,73,2,0
9845155738,biswasanika@example.com,316,18-25,Married with Kids,167839,Referral,253,9,0
09542698768,tborde@example.net,368,18-25,Married,81289,Organic Search,222,10,0
+917133343836,ryan45@example.net,344,26-35,Married,245741,Paid Ads,230,14,0
+914427512350,cmani@example.net,381,26-35,Single,208286,Paid Ads,269,3,0
04738484279,bathhimmat@example.com,416,26-35,Single,241998,Referral,94,6,0
4464197891,jsangha@example.com,318,18-25,Married with Kids,126858,Referral,86,11,0
05864487883,cherianvanya@example.org,351,18-25,Single,95090,Social Media,174,14,0
2481443001,hsheth@example.org,620,51+,Married,560460,Social Media,51,2,0
05256808638,ychoudhry@example.org,327,18-25,Married with Kids,82452,Paid Ads,150,13,0
4009165396,mirayarattan@example.net,582,36-50,Single,499557,Paid Ads,220,13,0
1446522753,adira87@example.com,372,26-35,Married with Kids,329813,Social Media,87,10,0
+913092430247,ydhar@example.org,466,26-35,Married with Kids,267926,Social Media,236,10,0
00011162174,rdalia@example.com,507,26-35,Single,273297,Social Media,97,6,0
03170743030,ahana-90@example.com,595,36-50,Married,579271,Social Media,15,6,0
+914010633603,dhawanhunar@example.com,493,36-50,Single,436660,Social Media,164,5,0
8880142556,ahana-77@example.com,536,26-35,Married,352478,Paid Ads,274,2,0
+916018348786,adasgupta@example.org,385,26-35,Single,199594,Paid Ads,37,13,0
8442092699,tsawhney@example.com,583,26-35,Single,327075,Organic Search,133,7,0
7239918059,hridaan99@example.net,300,18-25,Single,87030,Social Media,41,12,0
+913233064388,dhruvchaudry@example.com,437,26-35,Married,304225,Direct,84,10,0
06981728031,dubejivin@example.com,448,18-25,Married with Kids,227147,Social Media,228,1,0
6868949194,advik50@example.org,524,51+,Married,476147,Direct,127,5,0
6871413109,hirantoor@example.com,421,26-35,Single,266101,Direct,62,12,0
5521701490,kanavshanker@example.com,649,36-50,Married,640530,Paid Ads,181,2,0
+910116299735,damini65@example.com,601,36-50,Married,630077,Direct,186,8,0
08139721049,umanne@example.com,457,26-35,Married with Kids,362899,Paid Ads,167,10,0
5371606740,navya67@example.org,387,18-25,Single,236594,Paid Ads,161,2,0
8407619006,kiara69@example.org,417,18-25,Married with Kids,71847,Direct,167,14,0
7053081447,parinaazhalder@example.com,368,18-25,Married with Kids,116080,Organic Search,159,13,0
02861433305,sarraffarhan@example.org,644,36-50,Married with Kids,624288,Direct,220,8,1
2150661583,adira10@example.org,356,26-35,Single,334052,Organic Search,189,10,0
+919813717990,shayak59@example.com,597,36-50,Married with Kids,568178,Referral,71,5,1
05762593619,vartyelakshi@example.org,544,36-50,Single,493693,Paid Ads,51,14,0
2467986543,priyansh20@example.org,401,26-35,Single,281693,Referral,86,9,0
4568293739,bhargavakrish@example.net,452,26-35,Married with Kids,327709,Social Media,21,10,0
3107536555,ykaur@example.org,571,36-50,Married,598534,Referral,17,12,0
6761394320,jayesh30@example.org,649,36-50,Married,578352,Social Media,165,1,0
0300595118,dkhosla@example.net,487,26-35,Single,250862,Direct,192,13,0
+916310730861,indranil76@example.org,640,36-50,Married,590223,Organic Search,19,1,0
9998685685,kurianrhea@example.com,589,36-50,Married,574113,Referral,274,10,0
+919166206213,khushisahni@example.org,649,36-50,Married,591811,Direct,140,11,0
04859725078,balishalv@example.org,341,18-25,Married,216730,Direct,54,7,0
4089613173,guhabiju@example.com,304,18-25,Married with Kids,126299,Social Media,191,1,0
8433504037,keyabandi@example.net,583,36-50,Married,638257,Direct,94,3,0
8425198058,farhangoel@example.net,619,51+,Married,551946,Organic Search,38,8,0
+917293956334,qbhatnagar@example.com,535,51+,Married with Kids,497753,Organic Search,152,10,0
4840353590,hgokhale@example.net,470,36-50,Single,357476,Organic Search,185,1,0
07030421479,kartik57@example.net,686,36-50,Married,620036,Paid Ads,147,9,0
03336624407,sshukla@example.com,604,36-50,Married with Kids,678384,Organic Search,116,3,1
0690077712,qbrahmbhatt@example.com,404,51+,Single,370571,Referral,11,12,0
05844767557,sekhonjayesh@example.org,482,26-35,Married,301461,Referral,72,13,0
02621201849,shraybala@example.com,514,26-35,Married with Kids,323333,Direct,55,3,0
0525219197,wablekabir@example.org,381,18-25,Married,48513,Direct,107,6,0
2625455322,tarathakur@example.org,485,51+,Married,447797,Organic Search,96,9,0
0643313455,trishaiyer@example.net,382,26-35,Single,235904,Paid Ads,283,7,0
+914599034604,prishamandal@example.com,380,18-25,Married with Kids,33785,Direct,205,1,0
+915112574518,tarinisibal@example.com,573,36-50,Single,531655,Referral,60,13,0
+918388310364,obalan@example.net,504,51+,Married,482949,Paid Ads,182,7,0
00410211044,alisha15@example.com,691,36-50,Married,627684,Social Media,231,13,1
01196196951,wableayesha@example.com,595,36-50,Single,533038,Referral,193,10,0
08748151425,charvimand@example.com,656,36-50,Married,626802,Direct,242,9,1
05552589430,kardivyansh@example.net,515,51+,Married with Kids,483095,Paid Ads,92,11,0
03832277469,srivastavauthkarsh@example.net,442,26-35,Single,300972,Referral,76,8,0
00590829575,ebhagat@example.org,621,51+,Married with Kids,488727,Social Media,174,5,0
4048034674,brarvidur@example.org,432,18-25,Married,135586,Social Media,282,13,0
+912620962872,vchauhan@example.com,483,26-35,Married with Kids,296995,Paid Ads,93,14,0
+911177882629,ryanganguly@example.net,370,18-25,Married with Kids,45590,Referral,84,5,0
+916188189127,jsaha@example.org,300,18-25,Single,-16484,Referral,115,2,0
+918251690132,veer60@example.com,681,36-50,Married,586296,Social Media,99,4,0
5300738549,devanshdubey@example.net,384,18-25,Married with Kids,172568,Referral,160,13,0
+912019784807,piyasarna@example.org,586,51+,Married with Kids,501060,Referral,290,7,1
07263381149,baralsamarth@example.org,607,36-50,Married,609814,Direct,189,6,0
00774987369,pdate@example.org,634,36-50,Married,596107,Referral,49,14,0
+919826118454,rashakarnik@example.com,428,26-35,Single,211325,Direct,159,8,0
+912722237993,purab70@example.org,380,26-35,Married,317152,Social Media,75,9,0
+913899315396,ivanthakkar@example.com,572,36-50,Married,548531,Social Media,72,11,0
3053189514,datesamar@example.com,438,26-35,Married,320469,Organic Search,231,12,0
+918770849121,idivan@example.org,436,26-35,Single,234143,Direct,262,9,0
03077121357,nkalla@example.net,596,36-50,Married,542524,Social Media,219,3,0
6032551006,samaprerak@example.net,480,26-35,Married with Kids,321002,Paid Ads,197,3,0
09760056241,lchakrabarti@example.com,372,26-35,Single,249638,Organic Search,31,11,0
6895302679,khushikhurana@example.com,426,18-25,Married with Kids,209243,Organic Search,167,8,0
0147781840,achadha@example.com,539,36-50,Single,449075,Direct,54,11,0
03203733532,indranil85@example.com,513,26-35,Married,361780,Referral,183,11,0
+918727379334,ramanzoya@example.com,560,51+,Single,451152,Referral,181,9,0
+913788927006,kotadivit@example.com,478,26-35,Single,259476,Paid Ads,184,12,0
+916153858297,sridharkaira@example.com,432,18-25,Married with Kids,80006,Paid Ads,109,8,0
05585208346,lavanya42@example.org,383,26-35,Married with Kids,292666,Paid Ads,151,8,0
6442675015,bchacko@example.org,393,18-25,Married,194326,Referral,212,2,0
7695944712,kimaya40@example.net,383,18-25,Married,57088,Referral,83,6,0
2650304071,aainaaurora@example.org,480,36-50,Single,477899,Organic Search,227,13,0
09943823207,bgera@example.org,514,26-35,Married with Kids,315067,Organic Search,218,8,0
05878335240,kanav81@example.org,485,26-35,Married with Kids,331202,Social Media,71,4,0
06519072523,nayantararastogi@example.com,594,36-50,Married,631912,Social Media,29,5,0
+917454155850,neelofarbhakta@example.org,653,36-50,Single,590123,Paid Ads,239,5,1
+916554018702,pmalhotra@example.org,336,18-25,Single,65992,Direct,205,4,0
2120172475,qchakrabarti@example.net,398,26-35,Single,216127,Referral,293,14,0
7801025816,divijbail@example.org,423,26-35,Married,312567,Direct,85,4,0
3555083482,hunar84@example.com,409,26-35,Married,243608,Direct,104,2,0
08248818582,devansh08@example.com,427,26-35,Single,265441,Paid Ads,73,9,0
+913335860160,jaggialisha@example.net,488,36-50,Single,442006,Social Media,148,2,0
+912603566408,indranil45@example.net,578,36-50,Married,584112,Paid Ads,89,12,0
8909158411,kanav33@example.com,520,51+,Single,428428,Paid Ads,269,2,0
4232356350,suhana36@example.net,497,36-50,Married,614288,Direct,208,13,0
04293562408,tzacharia@example.net,539,36-50,Single,473334,Paid Ads,76,1,0
+917030774598,devansh76@example.net,352,18-25,Married,132520,Paid Ads,83,3,0
01690213667,keyasanghvi@example.com,373,18-25,Married,153228,Direct,30,1,0
0623492394,jayantamble@example.org,423,26-35,Married with Kids,318380,Paid Ads,214,4,0
+913933422113,kuruvillaira@example.net,403,26-35,Married,275870,Direct,280,2,0
8819615077,kakarsana@example.org,376,26-35,Single,208632,Paid Ads,29,3,0
5430641364,oorja68@example.org,606,26-35,Married with Kids,360804,Referral,197,10,0
+916559504178,wgulati@example.org,501,18-25,Married,165870,Paid Ads,299,13,0
0021078962,sumerborra@example.net,431,18-25,Married with Kids,140748,Paid Ads,20,4,0
05966010780,indrajit06@example.org,413,26-35,Married,270034,Referral,60,3,0
7374414943,tiya91@example.com,378,51+,Single,391427,Direct,276,3,0
00993868955,shankarritvik@example.org,506,51+,Married,538054,Social Media,19,9,0
01902804286,lgoel@example.net,552,36-50,Married,595713,Referral,115,8,0
+913429879778,dseshadri@example.net,560,36-50,Married with Kids,572777,Social Media,82,13,1
+917454626786,pdada@example.org,425,18-25,Married,103711,Organic Search,239,6,0
9850154952,yuvaanbahri@example.net,596,36-50,Married,701119,Social Media,287,2,0
+914613703541,edugar@example.com,582,36-50,Single,440485,Paid Ads,76,4,0
+913485407393,anay82@example.org,330,18-25,Married,122500,Social Media,128,6,0
+916511738898,comarindrajit@example.net,547,26-35,Single,238612,Organic Search,118,7,0
+910459229126,ysampath@example.net,346,26-35,Married,284166,Referral,205,6,0
2353382865,himmatkothari@example.org,464,26-35,Married,312062,Direct,203,11,0
04183234133,sarachoudhary@example.org,447,26-35,Single,311642,Paid Ads,112,5,0
04575810575,schandra@example.com,302,18-25,Married,110919,Direct,229,1,0
02758129926,elakshi57@example.org,300,18-25,Single,102780,Social Media,296,5,0
+910962266964,lavanya79@example.net,468,26-35,Married with Kids,244707,Referral,84,2,0
+917491658224,kannanyakshit@example.com,392,26-35,Married with Kids,361155,Organic Search,268,11,0
00934345655,cbabu@example.net,631,36-50,Single,521881,Organic Search,240,2,0
4368105322,sahniriaan@example.com,571,36-50,Single,542876,Direct,93,12,0
00005465010,praju@example.org,585,36-50,Married with Kids,527194,Direct,70,2,1
05924756395,fatehdhaliwal@example.org,612,36-50,Married with Kids,590722,Organic Search,135,3,1
4730953005,indranilseshadri@example.net,554,36-50,Married,616312,Social Media,173,2,0
8024350600,ivan45@example.com,323,18-25,Married with Kids,87664,Organic Search,256,1,0
03448944161,samar36@example.org,529,36-50,Single,484618,Referral,156,8,0
1354383866,banerjeedamini@example.org,376,26-35,Single,237070,Referral,21,13,0
9241321372,chiragamble@example.com,401,26-35,Single,239806,Organic Search,297,10,0
01627641196,dhruvdoshi@example.com,439,26-35,Single,245889,Organic Search,284,12,0
1981475875,aurorakismat@example.org,380,18-25,Married,16067,Referral,137,12,0
07968509642,yakshitramaswamy@example.net,524,51+,Married,469178,Direct,252,4,0
+910500463716,ndugal@example.org,423,18-25,Married with Kids,158032,Direct,221,4,0
8540359988,jhanvi15@example.com,422,26-35,Single,229448,Organic Search,282,4,0
07385976858,pihudhar@example.net,358,26-35,Married,240826,Paid Ads,227,8,0
0717218852,fdeol@example.com,418,26-35,Married with Kids,361952,Social Media,231,9,0
4352648556,ymallick@example.net,469,26-35,Single,298437,Paid Ads,85,2,0
+918948077871,skurian@example.org,591,51+,Married,552223,Referral,220,7,0
+912174201595,zjain@example.net,510,26-35,Married,341717,Direct,250,9,0
+919909167767,pari28@example.com,494,36-50,Married with Kids,566464,Paid Ads,86,9,1
04919477465,prisha19@example.org,452,26-35,Married with Kids,301025,Organic Search,12,4,0
+912993668453,mammenazad@example.com,558,26-35,Married with Kids,278233,Social Media,41,1,0
4245298597,indranschacko@example.com,490,26-35,Married,340759,Direct,64,13,0
+915376944080,koshyaarav@example.org,336,18-25,Single,64761,Organic Search,229,7,0
+914518925541,wwagle@example.com,444,26-35,Single,242275,Organic Search,201,13,0
+919386655373,aaravravel@example.net,495,51+,Married,471571,Social Media,26,10,0
7106226399,joshidivit@example.net,409,26-35,Single,219378,Direct,75,14,0
04243059847,karnikshamik@example.org,580,36-50,Married,565031,Social Media,107,1,0
02395708925,divyanshkapur@example.org,566,36-50,Single,497803,Organic Search,73,10,0
08005818879,dayaldevansh@example.net,346,26-35,Single,247198,Paid Ads,171,10,0
9559755839,takdivit@example.net,611,36-50,Married with Kids,689102,Paid Ads,297,13,1
6215018652,ira59@example.com,554,26-35,Married with Kids,339067,Organic Search,21,7,0
+919407690078,lagate@example.org,334,18-25,Married,100359,Organic Search,155,5,0
07793737557,kiara93@example.org,604,36-50,Married with Kids,520557,Organic Search,126,2,1
+916579602764,dubeytaimur@example.org,500,26-35,Married,367172,Direct,199,5,0
+913219833862,karimisha@example.net,438,26-35,Single,227209,Organic Search,18,10,0
+912741978570,bijuchatterjee@example.net,462,51+,Married with Kids,431992,Organic Search,175,14,0
+915005802288,sarnahridaan@example.org,579,36-50,Married,580982,Paid Ads,159,5,0
0374203637,shaanchopra@example.com,380,26-35,Married with Kids,260688,Social Media,167,2,0
02346050961,balasubramaniansumer@example.com,391,18-25,Married with Kids,181582,Direct,134,1,0
+917532119359,chanderazad@example.com,556,36-50,Single,548424,Social Media,253,11,0
5165997502,biju34@example.org,480,51+,Single,461404,Organic Search,187,5,0
+914483546660,taraarya@example.net,515,26-35,Married,270098,Direct,293,3,0
+911894575651,yaggarwal@example.org,455,26-35,Married,295924,Direct,264,2,0
+917913641120,mammenkashvi@example.com,445,26-35,Married,332899,Referral,116,12,0
6200856525,anayaraju@example.org,620,36-50,Single,603407,Organic Search,265,2,0
04155941569,subramaniankanav@example.net,580,36-50,Married,635288,Organic Search,236,6,0
09535415704,tandonnakul@example.net,303,26-35,Married,330089,Social Media,155,5,0
+917927815917,anandsamiha@example.org,434,26-35,Married with Kids,200595,Social Media,155,1,0
+918900972688,srinivashridaan@example.com,325,18-25,Married,125723,Paid Ads,94,10,0
05077859740,sarrafseher@example.net,300,18-25,Single,101181,Paid Ads,293,10,0
07548641481,darapriyansh@example.com,669,36-50,Married with Kids,700037,Direct,225,6,1
6858824046,ahujaanika@example.net,442,26-35,Single,286323,Paid Ads,45,8,0
01180294881,vedikagour@example.org,340,18-25,Single,137151,Organic Search,192,3,0
+910540354871,nbumb@example.com,426,26-35,Single,293980,Organic Search,246,11,0
1011092945,samradishani@example.com,300,18-25,Single,106861,Paid Ads,205,1,0
+917630629021,indrans35@example.com,426,26-35,Married with Kids,287979,Social Media,251,5,0
6235121539,aryabaiju@example.com,313,26-35,Married with Kids,216091,Paid Ads,55,2,0
8741672876,arnav90@example.org,511,26-35,Single,282315,Direct,76,3,0
+915955261817,mangatdhanuk@example.net,557,36-50,Married with Kids,604609,Social Media,196,6,1
01836066771,ahana-17@example.com,605,36-50,Single,513952,Organic Search,108,1,0
09075416018,shraysagar@example.org,300,26-35,Single,214658,Social Media,244,10,0
04198199288,isachdeva@example.net,432,18-25,Married,159877,Organic Search,95,8,0
8296925071,heerchakrabarti@example.com,514,26-35,Married,364164,Direct,30,7,0
07746000902,sinhaadvik@example.net,357,26-35,Single,214242,Organic Search,175,11,0
+915870471046,rkrishna@example.net,467,18-25,Married,196899,Organic Search,173,1,0
9778829030,contractorsamiha@example.org,394,26-35,Married,284643,Organic Search,73,1,0
02910628786,masterkimaya@example.com,336,26-35,Single,196281,Social Media,274,14,0
06120436759,rbora@example.org,397,18-25,Married,117505,Direct,179,14,0
01078856076,ishitasoni@example.net,372,18-25,Married with Kids,77552,Direct,178,12,0
2345782615,evadate@example.com,462,26-35,Married with Kids,312694,Direct,12,5,0
09768838294,mdubey@example.net,647,36-50,Married with Kids,651130,Paid Ads,95,14,1
05952579729,tejassampath@example.net,484,26-35,Married,365974,Social Media,81,11,0
02226603844,tshah@example.com,300,18-25,Single,98400,Direct,198,5,0
8703690764,drishyashenoy@example.org,543,51+,Single,361855,Paid Ads,246,11,0
+910208599278,idoshi@example.org,540,36-50,Married,637388,Organic Search,139,14,0
+912852261666,yashvigoswami@example.com,326,18-25,Single,108145,Direct,168,2,0
+913192126214,sawhneyveer@example.net,488,51+,Married with Kids,515247,Social Media,101,9,1
3007386513,anviganguly@example.net,398,26-35,Married with Kids,240251,Paid Ads,74,2,0
+917099811126,tarinigill@example.com,381,18-25,Single,53329,Social Media,265,3,0
08552345697,gsood@example.org,386,18-25,Married,73670,Direct,165,4,0
+914988677940,sachdevsara@example.org,466,26-35,Married,329195,Paid Ads,115,9,0
0019367176,bshah@example.com,572,36-50,Married with Kids,639553,Organic Search,131,12,1
+919733370264,gatikmajumdar@example.com,406,18-25,Married,175460,Social Media,57,8,0
00721693044,mahikabatta@example.com,582,36-50,Single,538337,Direct,60,8,0
03645935725,zsaini@example.org,461,26-35,Single,273930,Organic Search,86,14,0
+919570839876,kbakshi@example.net,543,36-50,Single,523950,Direct,73,1,0
1334957024,dhanukbains@example.org,530,36-50,Married with Kids,628484,Paid Ads,135,7,1
3122003713,kundakaira@example.net,424,26-35,Single,253415,Referral,235,1,0
3214268291,aaryahi54@example.com,354,26-35,Single,163619,Social Media,290,10,0
8021987479,dashriaan@example.org,523,26-35,Married,279221,Social Media,207,4,0
4881037488,cdada@example.com,478,26-35,Married,288766,Referral,122,7,0
8229749701,chaudharyzeeshan@example.org,590,36-50,Single,585195,Referral,183,14,0
+919754573154,saravarty@example.com,452,51+,Single,436213,Organic Search,41,3,0
9182602220,piyaramakrishnan@example.org,375,18-25,Single,162951,Direct,249,14,0
06389763890,xbalan@example.org,424,26-35,Married with Kids,345594,Organic Search,245,6,0
04357145097,aaryahithakkar@example.org,488,26-35,Married with Kids,345440,Referral,289,12,0
1122807949,hegdenayantara@example.net,559,36-50,Single,449848,Social Media,144,12,0
4722147016,nbhattacharyya@example.org,449,26-35,Married with Kids,251311,Direct,254,3,0
9816849811,madhav89@example.net,510,26-35,Married with Kids,345058,Organic Search,103,2,0
2073149643,miraya91@example.net,519,26-35,Married with Kids,352025,Social Media,254,4,0
+910294110007,kismat37@example.org,427,26-35,Single,276955,Direct,278,4,0
+911760471045,dsalvi@example.org,638,36-50,Married with Kids,559839,Social Media,214,9,1
+914842200434,bobaljiya@example.com,547,36-50,Married with Kids,542094,Referral,217,12,1
07313328641,saira50@example.net,545,36-50,Married,565916,Referral,114,14,0
+919721937826,babubaiju@example.org,447,26-35,Married,195744,Paid Ads,179,8,0
6105258114,shray07@example.net,457,26-35,Married with Kids,230388,Paid Ads,89,7,0
03647644411,rania96@example.net,511,51+,Single,408802,Social Media,129,1,0
+914763728427,hiran58@example.net,539,26-35,Married with Kids,387880,Direct,278,6,0
5291734083,daminidua@example.com,448,26-35,Married with Kids,205324,Paid Ads,295,1,0
+910037153135,hchakraborty@example.org,414,18-25,Single,111125,Direct,68,3,0
5299239472,pde@example.org,314,18-25,Married with Kids,105285,Social Media,295,7,0
1962586546,mandaaina@example.net,495,26-35,Married,282103,Referral,140,3,0
09044925376,suhanagrewal@example.net,544,36-50,Married with Kids,544433,Direct,145,7,1
+910045163547,wagleadah@example.com,716,36-50,Married with Kids,631646,Referral,221,14,1
9701130959,alia74@example.org,451,26-35,Married with Kids,331296,Direct,217,4,0
9106907946,asachdeva@example.com,606,36-50,Married,602384,Direct,299,12,0
00184960230,raghavsrinivas@example.com,347,18-25,Married,56366,Referral,246,8,0
9284496498,kondavedika@example.com,425,26-35,Married with Kids,256738,Social Media,22,10,0
3684874203,diya43@example.net,473,18-25,Married,141766,Referral,236,10,0
0974847483,rchhabra@example.org,453,26-35,Married with Kids,352968,Paid Ads,102,13,0
2229325926,gargranbir@example.org,347,18-25,Married with Kids,25106,Referral,167,6,0
2014186562,siya73@example.org,675,36-50,Married,517677,Organic Search,238,1,1
2729455573,duavardaniya@example.com,416,18-25,Married with Kids,127050,Referral,215,12,0
+912098203826,jchowdhury@example.net,475,26-35,Single,205710,Direct,276,4,0
0988731765,doctorshray@example.org,491,51+,Married,499823,Social Media,252,8,0
+914709028668,qmahal@example.net,565,36-50,Married,576601,Paid Ads,162,11,0
02396809838,mandaeshani@example.net,377,18-25,Married with Kids,115023,Referral,72,5,0
03523278038,ishita78@example.org,390,18-25,Married,167081,Direct,143,7,0
8658897177,veersengupta@example.com,300,18-25,Married with Kids,137448,Direct,255,12,0
+917123444899,kundatanya@example.org,451,51+,Married,423311,Organic Search,100,10,0
+915327512423,badal48@example.net,306,18-25,Single,92563,Organic Search,47,14,0
02971961071,myrajohal@example.org,377,26-35,Married,248769,Paid Ads,89,7,0
+913023724396,qlalla@example.com,424,26-35,Single,261750,Direct,250,10,0
4973333339,shanaya44@example.com,375,26-35,Married,210817,Direct,205,13,0
0810650004,ishaansahni@example.net,549,36-50,Married,573083,Referral,256,11,0
1182544803,chaudharinayantara@example.com,402,26-35,Married with Kids,212951,Paid Ads,96,12,0
+916410879093,misharastogi@example.org,628,36-50,Married with Kids,635938,Direct,112,13,1
00856847380,chadreyansh@example.org,419,18-25,Married,101025,Referral,130,7,0
03924241284,wgole@example.com,390,26-35,Single,285018,Social Media,68,14,0
+915509481731,johalaniruddh@example.com,442,26-35,Married with Kids,305243,Organic Search,158,2,0
2674126510,rammiraya@example.org,375,26-35,Single,177918,Referral,220,1,0
+919166071913,manikya64@example.net,579,36-50,Married with Kids,648910,Direct,244,14,1
+917237666713,nirvaan14@example.net,482,26-35,Married,290541,Referral,205,14,0
06876891641,yuvaan70@example.net,622,36-50,Married with Kids,591193,Referral,16,7,1
+918633750947,ymandal@example.com,477,26-35,Married with Kids,343150,Social Media,98,2,0
5430630950,aaravchander@example.com,304,18-25,Married with Kids,57016,Paid Ads,40,9,0
+918524535904,jayeshmann@example.com,551,36-50,Married,471468,Organic Search,264,7,0
+911325042119,yuvaandeshmukh@example.net,311,18-25,Married,77492,Referral,169,11,0
+919035944756,sahotaritvik@example.com,370,18-25,Married with Kids,103804,Organic Search,71,7,0
00236988036,sibalvivaan@example.org,462,26-35,Married,342669,Referral,273,11,0
3433625832,jganesh@example.org,600,36-50,Single,509426,Direct,159,9,0
04459509236,badalsidhu@example.org,467,26-35,Married,317567,Organic Search,104,3,0
01892444123,amblerenee@example.net,429,26-35,Married,279539,Referral,164,3,0
09100617737,graj@example.com,504,26-35,Married with Kids,353233,Direct,246,7,0
+914539588317,sandhusamar@example.com,300,18-25,Married,118671,Paid Ads,126,3,0
2168693844,miyengar@example.com,695,36-50,Married with Kids,604315,Paid Ads,169,5,1
06890743559,saira53@example.org,604,36-50,Married with Kids,548543,Social Media,142,1,1
02483576949,ltalwar@example.com,429,26-35,Single,230549,Social Media,180,3,0
+914406868768,elakshi76@example.org,600,36-50,Married,650769,Social Media,206,12,0
7733831232,kbhagat@example.com,505,36-50,Single,453358,Organic Search,217,12,0
9900528224,zeeshan74@example.net,607,36-50,Married with Kids,588210,Paid Ads,90,13,1
00493524278,acomar@example.net,300,18-25,Married,80335,Direct,248,9,0
4726179448,hansh56@example.org,582,51+,Married,507789,Organic Search,97,11,0
2238210172,rania18@example.net,504,36-50,Single,490046,Organic Search,267,9,0
00587514214,hridaancomar@example.net,401,26-35,Single,270138,Social Media,216,2,0
05335425682,diya55@example.org,312,18-25,Married with Kids,96100,Direct,37,8,0
9328178586,raunak29@example.org,437,26-35,Married,230474,Organic Search,203,8,0
+919652325928,dgade@example.com,591,51+,Married,498467,Paid Ads,274,13,0
4893115109,rajnitya@example.org,630,36-50,Married,605517,Direct,161,1,0
2078861808,prerak33@example.com,300,18-25,Single,-69964,Direct,92,7,0
06379061049,chakrabartiinaaya@example.org,607,51+,Married,512405,Social Media,41,2,0
3693994882,sawhneysana@example.com,430,26-35,Married with Kids,267433,Social Media,100,1,0
01170434630,aarav87@example.net,666,36-50,Married,613725,Social Media,26,5,0
2315417020,ldesai@example.org,427,26-35,Married,336949,Direct,169,6,0
+919770362308,devansh02@example.com,473,51+,Single,438426,Social Media,64,7,0
+915065617998,vorasahil@example.com,413,26-35,Married with Kids,338686,Social Media,91,14,0
08729796444,sairalad@example.net,483,26-35,Single,230077,Paid Ads,79,3,0
4279944107,tarinichoudhary@example.com,395,26-35,Married,220656,Direct,112,3,0
00829764527,bhavinvirk@example.net,476,26-35,Single,233594,Direct,255,1,0
04497120487,mlanka@example.org,451,26-35,Single,303603,Referral,277,6,0
2729346348,mannat54@example.net,405,26-35,Married with Kids,354323,Direct,275,3,0
04239857948,zoyaraju@example.org,442,26-35,Single,282211,Paid Ads,271,3,0
6376184712,kabir82@example.net,401,26-35,Married,272004,Organic Search,145,8,0
2253886269,emirramaswamy@example.net,523,51+,Married,449266,Paid Ads,161,4,0
6583608536,otalwar@example.net,587,36-50,Married,628405,Organic Search,185,10,0
+915747564045,butalatiya@example.org,553,51+,Married with Kids,444959,Direct,119,1,0
01672255697,hvarty@example.com,424,26-35,Married,285615,Social Media,28,6,0
2531714867,pramakrishnan@example.com,407,26-35,Single,215844,Social Media,24,13,0
+917395158634,emirgulati@example.com,568,36-50,Single,418867,Organic Search,235,4,0
+914767248517,vedika33@example.com,377,18-25,Married with Kids,186323,Organic Search,163,7,0
00317806242,valaaaryahi@example.com,436,26-35,Married with Kids,345971,Direct,34,12,0
+916219119559,gbrahmbhatt@example.net,600,36-50,Single,475982,Organic Search,46,12,0
+917557356506,nishith80@example.com,605,36-50,Married,621562,Organic Search,118,1,0
5724128656,sodhipihu@example.net,406,26-35,Married with Kids,312042,Social Media,205,7,0
